genres,app_name,release_date,price,id,developer
"['Gore', 'Fast-Paced', 'Singleplayer', 'Demons', 'Zombies', 'Action', 'Great Soundtrack', 'Sci-fi', '2.5D', 'Multiplayer', 'Difficult', ""1990's"", 'Retro', 'First-Person', 'Horror', 'FPS', 'Moddable', 'Shooter', 'Violent', 'Classic']",ultimate doom,1995,4.99,2280,id Software
"['Zombies', 'Gore', 'Great Soundtrack', 'Horror', 'FPS', 'Moddable', 'Retro', 'Sci-fi', 'Shooter', 'Singleplayer', ""1990's"", 'First-Person', 'Classic', 'Demons', 'Difficult', 'Action']",master levels for doom ii,1995,14.99,9160,id Software
"['Gore', 'Singleplayer', 'Demons', 'Zombies', 'Action', 'Great Soundtrack', 'Sci-fi', '2.5D', 'Multiplayer', 'Online Co-Op', 'Retro', ""1990's"", 'First-Person', 'Horror', 'FPS', 'Moddable', 'Pixel Graphics', 'Shooter', 'Violent', 'Classic']",doom ii,1994,4.99,2300,id Software
"['FPS', 'World War II', 'Moddable', 'Singleplayer', 'Retro', ""1990's"", 'Shooter', 'Pixel Graphics', 'First-Person', 'Classic', '2.5D', 'Action']",wolfenstein 3d,1994,4.99,2270,id Software
"['Gore', 'Singleplayer', 'Zombies', 'Action', 'Great Soundtrack', 'Atmospheric', 'Stealth', 'Sci-fi', 'Multiplayer', 'Supernatural', 'Adventure', 'World War II', 'Retro', 'First-Person', 'Alternate History', 'Horror', 'FPS', 'Shooter', 'Classic']",return to castle wolfenstein,2001,4.99,9010,Gray Matter Studios
"['Horror', 'FPS', 'Shooter', 'First-Person', 'Classic', 'Action']",quake mission pack 1: scourge of armagon,1997,2.99,9040,Ritual Entertainment
"['FPS', 'World War II', 'Retro', 'Singleplayer', 'Shooter', ""1990's"", 'Classic', 'Action']",spear of destiny,1993,2.99,9000,id Software
"['Horror', 'Gore', 'Female Protagonist', 'Hack and Slash', 'Singleplayer', 'Third Person', 'Vampire', 'Action']",bloodrayne,2003,9.99,3810,Terminal Reality
"['FPS', 'Shooter', 'First-Person', 'Classic', 'Action']",quake mission pack 2: dissolution of eternity,2007,2.99,9030,Rogue Entertainment
"['Gore', 'Fast-Paced', 'Singleplayer', 'Action', 'Great Soundtrack', 'Atmospheric', 'Co-op', 'Sci-fi', 'Multiplayer', 'Lovecraftian', 'Adventure', 'Retro', ""1990's"", 'First-Person', 'Horror', 'FPS', 'Competitive', 'Moddable', 'Shooter', 'Classic']",quake,2007,4.99,2310,id Software
"['Sci-fi', 'Space', 'RTS', 'Strategy']",genesis rising,2007,4.99,3230,Metamorf
"['Strategy', 'Tactical', 'RTS', 'Futuristic', 'Real-Time', 'Base Building', 'Sci-fi', 'Singleplayer', 'Multiplayer', 'Warhammer 40K', 'Action', 'Games Workshop']","warhammer® 40,000: dawn of war® – winter assault",2006,12.99,9310,Relic Entertainment
"['Dark', 'Singleplayer', 'Action', 'Action RPG', 'Underwater', 'Great Soundtrack', 'Atmospheric', 'Sci-fi', 'Adventure', 'First-Person', 'Story Rich', 'Alternate History', 'Horror', 'Political', 'FPS', 'Dystopian', 'RPG', 'Steampunk', 'Shooter', 'Classic']",bioshock™,2007,19.98,7670,"2K Boston,2K Australia"
"['War', 'Great Soundtrack', 'Tactical', 'RTS', 'Fantasy', 'Classic', 'Games Workshop', 'Real-Time', 'Base Building', 'Sci-fi', 'Singleplayer', 'Multiplayer', 'Warhammer 40K', 'Action', 'Strategy']","warhammer® 40,000: dawn of war® - game of the year edition",2006,12.99,4570,Relic Entertainment
"['War', 'Gore', 'Tactical', 'RTS', 'Fantasy', 'Classic', 'Atmospheric', 'Games Workshop', 'Real-Time', 'Co-op', 'Base Building', 'Sci-fi', 'Singleplayer', 'Multiplayer', 'Warhammer 40K', 'Adventure', 'Action', 'Strategy']","warhammer® 40,000: dawn of war® - dark crusade",2006,12.99,4580,Relic Entertainment
"['Turn-Based Strategy', 'Historical', 'Singleplayer', 'Medieval', '4X', 'Action', 'Simulation', 'Great Soundtrack', 'Atmospheric', 'Multiplayer', 'Turn-Based', 'Real Time Tactics', 'War', 'RTS', 'Rome', 'Grand Strategy', 'Strategy', 'Tactical', 'Moddable', 'Classic']",rome: total war™ - collection,2004,9.99,4760,The Creative Assembly
"['RTS', 'Rome', 'Turn-Based Strategy', 'Historical', 'Grand Strategy', 'Singleplayer', 'Multiplayer', 'Turn-Based', 'Strategy']",rome: total war™ - alexander,2006,4.99,4770,The Creative Assembly
"['Hidden Object', 'Casual']",mystery case files: madame fate®,2007,6.99,50970,Big Fish Games
"['Horror', 'Gore', 'Great Soundtrack', 'Mature', 'Survival', 'Atmospheric', 'Stealth', 'Dark', 'Singleplayer', 'Third Person', 'Violent', 'Classic', 'Survival Horror', 'Action', 'Psychological Horror']",manhunt,2004,9.99,12130,Rockstar North
"['Great Soundtrack', 'Open World', 'Racing', 'Singleplayer', 'Multiplayer', 'Classic', 'Arcade', 'Sandbox']",midnight club 2,2003,9.99,12160,Rockstar San Diego
"['Great Soundtrack', 'Atmospheric', 'Dark', 'Detective', 'Singleplayer', 'Third Person', 'Shooter', 'Crime', 'Story Rich', 'Third-Person Shooter', 'Classic', 'Adventure', 'Noir', 'Cinematic', 'Action', 'Bullet Time', 'Nudity']",max payne 2: the fall of max payne,2003,9.99,12150,Remedy Entertainment
"['Puzzle', 'Lara Croft', 'Female Protagonist', 'Action-Adventure', 'Platformer', 'Singleplayer', 'Third Person', 'Shooter', 'Controller', 'Third-Person Shooter', 'Adventure', 'Action']",tomb raider: legend,2006,6.99,7000,Crystal Dynamics
"['Dark', 'Singleplayer', 'Third Person', 'Crime', 'Noir', 'Cinematic', 'Action', 'Bullet Time', 'Great Soundtrack', 'Linear', 'Atmospheric', 'Detective', 'Third-Person Shooter', 'Adventure', 'Story Rich', 'Horror', 'Shooter', 'Violent', 'Classic', 'Psychological Horror']",max payne,2001,9.99,12140,Remedy Entertainment
"['Alternate History', 'Great Soundtrack', 'FMV', 'RTS', 'War', 'Comedy', 'Atmospheric', 'Real-Time', 'Co-op', 'Co-op Campaign', 'Base Building', 'Sci-fi', 'Singleplayer', 'Multiplayer', 'Classic', 'Online Co-Op', 'Action', 'Strategy']",command & conquer: red alert 3,2008,19.98,17480,EA Los Angeles
"['Fantasy', 'Indie', 'Match 3', 'Casual', 'Touch-Friendly', 'Singleplayer', 'RPG', 'Anime', '2D', 'Puzzle', 'Strategy']",puzzlequest: challenge of the warlords,2007,9.99,12500,Infinite Interactive
"['Female Protagonist', 'Point & Click', 'Casual', 'Dystopian', 'Sci-fi', 'Cyberpunk', 'RPG', 'Adventure']",culpa innata,2007,9.99,12310,Momentum Digital Media Technologies
"['Simulation', 'Strategy']",prison tycoon 3™: lockdown,2007,9.99,12510,"Gamebryo,Virtual Playground"
"['Adventure', 'Hunting', 'Action', 'Strategy']",hunting unlimited™ 2008,2007,9.99,12530,SCS Software
"['Simulation', 'Driving', 'Racing', 'Open World']",18 wheels of steel: american long haul,2007,9.99,12520,SCS Software
"['FPS', 'Co-op', 'Singleplayer', 'Multiplayer', 'Action']",conflict: denied ops,2008,5.99,8100,Pivotal Games
"['Simulation', 'Tactical', 'FPS', 'Military', 'Shooter', 'Action']",arma: combat operations,2007,7.99,2780,Bohemia Interactive
"['Simulation', 'Management', 'City Builder']",tycoon city: new york,2006,9.99,9730,Retroism
"['Tactical', 'Western', 'Action', 'Strategy']",desperados 2: cooper's revenge,2006,9.99,9710,Spellbound
"['World War II', 'Open World', 'Stealth', 'Singleplayer', 'Third Person', 'Classic', 'Adventure', 'Action']",death to spies,2007,4.99,9800,Haggard Games
"['Action', 'RTS', 'Strategy']",act of war: high treason,2006,2.99,9760,Eugen Systems
"['Simulation', 'Great Soundtrack', 'Building', 'Funny', 'Real-Time with Pause', 'Comedy', 'Moddable', 'Casual', 'Singleplayer', 'Management', 'Multiplayer', 'Classic', 'Sandbox', 'Family Friendly', 'Economy', 'Strategy']",rollercoaster tycoon® 3: platinum,2006,19.98,2700,"Frontier,Aspyr (Mac)"
"['Action', 'RTS', 'Strategy']",act of war: direct action,2005,2.99,2710,Eugen Systems
"['FPS', 'Sci-fi', 'Singleplayer', 'Shooter', 'Multiplayer', 'First-Person', 'Classic', 'Action']",unreal 2: the awakening,2003,14.99,13200,"Epic Games, Inc."
"['Great Soundtrack', 'Horror', 'FPS', 'Female Protagonist', 'Atmospheric', 'Fast-Paced', 'Co-op', 'Sci-fi', 'Singleplayer', 'Shooter', 'Multiplayer', ""1990's"", 'First-Person', 'Classic', 'Adventure', 'Action', 'Nudity']",unreal gold,1998,9.99,13250,"Epic Games, Inc."
"['Ninja', 'Indie', 'Casual']",ninja reflex: steamworks edition,2008,4.99,13000,Sanzaru Games
"['Atmospheric', 'Stealth', 'Singleplayer', 'Third Person', 'Shooter', 'Multiplayer', 'Difficult', 'Third-Person Shooter', 'Classic', 'Adventure', 'Action']",tom clancy's splinter cell®,2003,9.99,13560,Ubisoft
"['Horror', 'Great Soundtrack', 'FPS', 'Survival', 'Open World', 'Atmospheric', 'Stealth', 'Singleplayer', 'Difficult', 'Shooter', 'Multiplayer', 'Sci-fi', 'First-Person', 'Classic', 'Adventure', 'Sandbox', 'Action', 'Story Rich']",far cry®,2004,9.99,13520,Crytek Studios
"['Great Soundtrack', 'Gore', 'FPS', 'Competitive', 'Fast-Paced', 'Moddable', 'Co-op', 'Atmospheric', 'Sci-fi', 'Singleplayer', 'Multiplayer', 'Shooter', ""1990's"", 'Arena Shooter', 'Classic', 'First-Person', 'Cyberpunk', 'Action']",unreal tournament: game of the year edition,2000,9.99,13240,"Epic Games, Inc."
"['Tactical', 'FPS', 'Stealth', 'Co-op', 'Singleplayer', 'Shooter', 'Multiplayer', 'First-Person', 'Classic', 'Online Co-Op', 'Action']",tom clancy's rainbow six® vegas,2006,9.99,13540,Ubisoft Montreal
"['Simulation', 'Naval', 'Military', 'World War II', 'Open World', 'Historical', 'Realistic', 'Action']",silent hunter® iii,2005,9.99,15210,Ubisoft
"['Simulation', 'Casual']",virtual villagers - the secret city,2008,9.99,16180,Last Day of Work
"['Hidden Object', 'Casual']",mystery p.i.™ - the vegas heist,2008,4.99,3520,SpinTop Games
"['Match 3', 'Casual']",luxor,2008,9.99,15970,MumboJumbo
"['Arcade', 'Casual']",reaxxion,2008,9.99,15950,MumboJumbo
"['Puzzle', 'Singleplayer', 'Agriculture', 'Casual']",little farm,2008,9.99,15960,MumboJumbo
"['Puzzle', 'Singleplayer', 'Match 3', 'Casual']",7 wonders ii,2008,9.99,15900,MumboJumbo
['Casual'],luxor amun rising,2005,9.99,15910,MumboJumbo
"['Puzzle', 'Casual']",luxor 3,2007,9.99,15930,MumboJumbo
"['Simulation', 'Horses', 'Family Friendly', 'Psychological Horror']",petz® horsez® 2,2007,9.99,15160,Ubisoft
['Casual'],luxor 2,2005,9.99,15920,MumboJumbo
"['Comedy', 'Psychological Horror', 'Singleplayer', 'Multiplayer', 'Adventure', 'Action', 'Funny']",rayman raving rabbids™,2007,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier"
"['Military', 'Simulation', 'World War II', 'Naval']",silent hunter®: wolves of the pacific,2007,9.99,15200,Ubisoft Romania
"['Simulation', 'Military', 'World War II', 'Moddable', 'Historical', 'TrackIR', 'Realistic', 'Multiplayer', 'Flight', 'Classic', 'Action']",il-2 sturmovik: 1946,2006,9.99,15320,1C: Maddox Games
"['Simulation', 'World War II', 'Naval']",silent hunter®: wolves of the pacific u-boat missions,2008,9.99,15240,Ubisoft Romania
"['Adventure', 'Point & Click']",bone: out from boneville,2005,9.99,8310,Telltale Games
['Racing'],midnight outlaw: 6 hours to sunup,2005,9.99,12600,"Merscom,Babylon"
"['Adventure', 'Point & Click']",bone: the great cow race,2006,9.99,8320,Telltale Games
['Racing'],sprint cars road to knoxville,2008,9.99,12590,BigAnt Studios
['Casual'],dr. daisy pet vet,2008,9.99,12580,Zemnott
"['Simulation', 'Management']",ride! carnival tycoon,2007,9.99,12560,Gabriel Entertainment
['Casual'],hot dish,2008,9.99,12570,Zemnott
"['Puzzle', 'Casual']",mahjongg investigations: under suspicion,2007,9.99,12540,Zemnott
"['Adventure', 'Vampire', 'Point & Click', 'Puzzle']",dracula origin,2008,9.99,11050,Frogwares
"['Puzzle', 'Point & Click', 'Detective', 'RPG', 'Adventure', 'Mystery']",sherlock holmes - nemesis,2008,9.99,11040,Frogwares
"['Adventure', 'Indie', 'Platformer']",eternity's child,2008,4.99,19500,"Luc Bernard,SilverSphereStudios"
"['Simulation', 'World War II', 'Naval', 'Strategy']",pacific storm allies,2007,7.99,11260,Lesta Studio
"['Tanks', 'Indie', 'Great Soundtrack', 'Atmospheric', 'Casual', 'Retro', 'Singleplayer', 'Action', 'Story Rich']",tank universal,2008,4.99,19200,Dialogue Design
"['Great Soundtrack', 'Physics', 'Racing', 'Destruction', 'Singleplayer', 'Driving', 'Multiplayer', 'Arcade', 'Action']",flatout: ultimate carnage,2008,19.98,12360,Bugbear Entertainment
"['Puzzle', 'Comedy', 'Platformer', 'Dark', 'Stealth', 'Cult Classic', '2D', 'Singleplayer', 'Retro', ""1990's"", 'Puzzle-Platformer', 'Classic', 'Adventure', 'Action', 'Funny']",oddworld: abe's exoddus®,1998,2.99,15710,Oddworld Inhabitants
"['Fantasy', 'Puzzle', 'Comedy', 'Platformer', 'Classic', 'Dark', 'Cult Classic', 'Atmospheric', 'Singleplayer', 'Retro', 'Difficult', 'Puzzle-Platformer', '2D', 'Adventure', 'Cinematic', 'Action', 'Funny']",oddworld: abe's oddysee®,1997,2.99,15700,Oddworld Inhabitants
"['Simulation', 'Racing', 'Singleplayer', 'Driving', 'Multiplayer']",gtr evolution expansion pack for race 07,2008,7.99,8660,SimBin
"['Sci-fi', 'Shooter', 'Aliens', 'Third-Person Shooter', 'Action', 'Strategy']",x-com: enforcer,2001,4.99,7770,"MicroProse Software, Inc"
"['Tactical', 'Turn-Based Strategy', 'Sci-fi', 'Singleplayer', 'Cyberpunk', 'Aliens', 'Turn-Based', 'Classic', 'Post-apocalyptic', 'Isometric', 'Real-Time with Pause', 'Strategy']",x-com: apocalypse,1997,4.99,7660,"MicroProse Software, Inc"
"['Turn-Based Strategy', 'Singleplayer', 'Action', 'Simulation', 'Turn-Based Tactics', 'Atmospheric', 'Sci-fi', 'Turn-Based', 'Adventure', 'Difficult', ""1990's"", 'Retro', 'Management', 'Strategy', 'Tactical', 'Space', 'Base Building', 'Aliens', 'Classic', 'Isometric']",x-com: ufo defense,1993,4.99,7760,"MicroProse Software, Inc"
"['Singleplayer', 'Zombies', 'Action', 'Survival', 'Open World', 'Atmospheric', 'Sci-fi', 'Multiplayer', 'Post-apocalyptic', 'Adventure', 'First-Person', 'Survival Horror', 'Horror', 'FPS', 'Inventory Management', 'Moddable', 'RPG', 'Shooter', 'Classic', 'Sandbox']",s.t.a.l.k.e.r.: clear sky,2008,9.99,20510,GSC Game World
"['Futuristic', 'FPS', 'Military', 'Open World', 'Stealth', 'Sci-fi', 'Singleplayer', 'Shooter', 'Multiplayer', 'Aliens', 'First-Person', 'Benchmark', 'Adventure', 'Action']",crysis warhead®,2008,19.98,17330,Crytek
"['Destruction', 'Benchmark', 'Singleplayer', 'Action', 'Great Soundtrack', 'Futuristic', 'Open World', 'Atmospheric', 'Stealth', 'Sci-fi', 'Multiplayer', 'Adventure', 'First-Person', 'Story Rich', 'FPS', 'Moddable', 'Shooter', 'Aliens', 'Classic', 'Sandbox']",crysis,2007,19.98,17300,Crytek
"['Space', 'Sci-fi', 'Singleplayer', 'Flight', 'Space Sim', 'Strategy']",x-com: interceptor,1998,4.99,7730,"MicroProse Software, Inc"
"['Singleplayer', 'Third Person', 'Medieval', 'Action', 'Action RPG', 'Great Soundtrack', 'Mature', 'Dark Fantasy', 'Open World', 'Atmospheric', 'Magic', 'Adventure', 'Choices Matter', 'Fantasy', 'Based On A Novel', 'Multiple Endings', 'Story Rich', 'Nudity', 'RPG', 'Classic']",the witcher: enhanced edition director's cut,2008,9.99,20900,CD PROJEKT RED
"['Indie', 'RTS', 'Singleplayer', 'Retro', 'Multiplayer', 'Strategy']",multiwinia,2008,9.99,1530,Introversion Software
"['Simulation', 'Racing']",stcc - the game 1 - expansion pack for race 07,2008,2.99,8690,SimBin
"['Simulation', 'Historical', 'Singleplayer', 'Management', 'City Builder', 'Sandbox', 'Strategy']",children of the nile: alexandria,2008,2.49,17120,"Tilted Mill Entertainment, Inc."
"['Turn-Based Strategy', 'Moddable', 'Historical', 'Singleplayer', 'Multiplayer', 'Turn-Based', '4X', 'Strategy']",sid meier's civilization iv: colonization,2008,19.98,16810,Firaxis Games
"['Simulation', 'Tactical', 'FPS', 'Co-op', 'Realistic', 'Singleplayer', 'Shooter', 'First-Person', 'Classic', 'Action', 'Strategy']",tom clancy's rainbow six® 3 gold,2003,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal"
"['Batman', 'Local Multiplayer', 'Comedy', 'Co-op', 'Comic Book', 'Singleplayer', 'Third Person', 'Controller', 'Local Co-Op', 'Superhero', 'Multiplayer', 'Adventure', 'Action', 'Funny', 'LEGO', 'Family Friendly']",lego batman,2008,19.98,21000,Traveller's Tales
"['Simulation', 'City Builder', 'Strategy']",city life 2008,2008,9.99,4460,Monte Cristo
